Tipo contaminante,Comuna,Ciudad,Tipo de emision,Año,Tipo vehículo,emicom_cantprom_anual
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,00856"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,14674"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00072"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,00054"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,00233"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00029"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,00038"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,00233"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00073"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,0009"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,00233"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00132"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,001"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,07183"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00053"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,0007"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,07183"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Moto,"0,00136"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Moto,"0,00167"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Moto,"0,07183"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00371"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00325"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,03457"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00147"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00228"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,03457"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00376"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00543"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,03457"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,02699"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,02366"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,12375"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,01072"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,01656"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,12375"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,02736"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,03944"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,12375"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,02008"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,0176"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,08723"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00797"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,01232"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,08723"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,02035"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,02934"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,08723"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,07166"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,06282"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,01556"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,02846"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,04398"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,01556"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,07264"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,10471"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,01556"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00286"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00251"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00062"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00113"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00176"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00062"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,0029"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00419"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00088"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00371"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00325"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00163"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00147"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00228"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00163"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,00376"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,00543"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00163"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,03077"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,02698"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00539"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,01222"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,01888"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00539"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,0312"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,04497"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00539"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,04916"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,0431"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00862"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,01953"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,03017"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00862"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,04984"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,07184"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,00862"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,0624"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,05471"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,01094"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Taxi,"0,02479"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Taxi,"0,03829"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Taxi,"0,01094"
