Tipo contaminante,Comuna,Ciudad,Tipo de emision,Año,Tipo vehículo,emicom_cantprom_anual
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05393"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00132"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00013"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,19824"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0005"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00044"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0002"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00031"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00056"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00074"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00012"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"1,26517"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"502,71547"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,09148"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,46376"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03228"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00322"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"5,90224"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01237"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01087"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00495"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,0076"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01366"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01811"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,0057"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"1,22482"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"533,04258"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05122"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,26175"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03228"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00322"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"5,08837"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01237"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01087"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,10831"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00495"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,0076"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,10831"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01366"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01811"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,10831"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00568"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"2,12234"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"965,02073"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00548"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03268"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03228"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02367"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"5,37964"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,02475"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,02174"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05739"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0099"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01521"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05739"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,02733"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,03623"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,05739"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00922"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,04785"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"19,9972"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00435"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01715"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00074"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00007"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,21585"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00079"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00067"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00945"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00031"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00047"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00945"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00081"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00112"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00945"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00021"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,1112"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"54,77397"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00786"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,03109"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,0021"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00021"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,63715"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00224"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00189"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01174"
